Province,Subregion,Species,ModelName,ParName,ParVal,Reference
BC,CWH,ABIEAMA,Kozak94,A0,1.192696,Kozak94
BC,CWH,ABIEAMA,Kozak94,A1,0.981241,Kozak94
BC,CWH,ABIEAMA,Kozak94,A2,0.99992,Kozak94
BC,CWH,ABIEAMA,Kozak94,A3,61.7178,Kozak94
BC,CWH,ABIEAMA,Kozak94,A4,-219.227,Kozak94
BC,CWH,ABIEAMA,Kozak94,A5,226.679,Kozak94
BC,CWH,ABIEAMA,Kozak94,A6,-68.4199,Kozak94
BC,CWH,ABIEAMA,Kozak94,A7,-27.8855,Kozak94
BC,CWH,ABIEAMA,Kozak94,A8,-0.348434,Kozak94
BC,CWH,ABIEAMA,Kozak94,A9,0.0011933,Kozak94
BC,CWH,ABIEAMA,Kozak94,ER,1.005,Kozak94
BC,CWH,PICESPP,Kozak94,A0,1.178316,Kozak94
BC,CWH,PICESPP,Kozak94,A1,1.01202,Kozak94
BC,CWH,PICESPP,Kozak94,A2,0.999175,Kozak94
BC,CWH,PICESPP,Kozak94,A3,47.9856,Kozak94
BC,CWH,PICESPP,Kozak94,A4,-138.777,Kozak94
BC,CWH,PICESPP,Kozak94,A5,131.229,Kozak94
BC,CWH,PICESPP,Kozak94,A6,-39.4343,Kozak94
BC,CWH,PICESPP,Kozak94,A7,-22.2972,Kozak94
BC,CWH,PICESPP,Kozak94,A8,-0.542294,Kozak94
BC,CWH,PICESPP,Kozak94,A9,-0.000705,Kozak94
BC,CWH,PICESPP,Kozak94,ER,1.0067,Kozak94
YT,ALL,PICEGLA,Kozak88,a0,0.90754,Bonnor
YT,ALL,PICEGLA,Kozak88,a1,0.92481,Bonnor
YT,ALL,PICEGLA,Kozak88,a2,1.00213,Bonnor
YT,ALL,PICEGLA,Kozak88,b1,0.11603,Bonnor
YT,ALL,PICEGLA,Kozak88,b2,-0.08441,Bonnor
YT,ALL,PICEGLA,Kozak88,b3,1.21302,Bonnor
YT,ALL,PICEGLA,Kozak88,b4,-0.2705,Bonnor
YT,ALL,PICEGLA,Kozak88,b5,0.11024,Bonnor
YT,ALL,PICEGLA,Kozak88,p,0.3,Bonnor
YT,ALL,POPUTRE,Kozak88,a0,0.91487,Bonnor
YT,ALL,POPUTRE,Kozak88,a1,0.99355,Bonnor
YT,ALL,POPUTRE,Kozak88,a2,0.99732,Bonnor
YT,ALL,POPUTRE,Kozak88,b1,1.391,Bonnor
YT,ALL,POPUTRE,Kozak88,b2,-0.23648,Bonnor
YT,ALL,POPUTRE,Kozak88,b3,3.57623,Bonnor
YT,ALL,POPUTRE,Kozak88,b4,-1.5851,Bonnor
YT,ALL,POPUTRE,Kozak88,b5,0.189703,Bonnor
YT,ALL,POPUTRE,Kozak88,p,0.2,Bonnor
