"Species","parameter","estimate","NaturalSubregionNum","NaturalSubregionCode","Subregion"
"ABIE.BAL","a1",0.89838,"10","UF","UF"
"ABIE.BAL","a1",0.944076,NA,"Province","Province"
"ABIE.BAL","a2",0.997292,"1","CM","CM"
"ABIE.BAL","a2",0.997292,"2","DMW","DMW"
"ABIE.BAL","a2",0.997292,"3","NM","NM"
"ABIE.BAL","a2",0.997292,"4","BSA","BSA"
"ABIE.BAL","a2",0.997292,"5","PAD","PAD"
"ABIE.BAL","a2",0.997292,"6","LBH","LBH"
"ABIE.BAL","a2",0.997292,"9","M","M"
"ABIE.BAL","a2",0.997292,"11","LF","LF"
"ABIE.BAL","a2",0.997292,"12","AP","AP"
"ABIE.BAL","a2",0.997292,"13","KU","KU"
"ABIE.BAL","a2",0.997292,"14","FP","FP"
"ABIE.BAL","a2",0.997292,"15","PRP","PRP"
"ABIE.BAL","a2",0.997292,"16","CP","CP"
"ABIE.BAL","a2",1.001816,"7","ALP","ALP"
"ABIE.BAL","a2",1.001816,"8","SA","SA"
"ABIE.BAL","a2",1.001816,"10","UF","UF"
"ABIE.BAL","a2",0.999921,NA,"Province","Province"
"ABIE.BAL","b1",1.568514,"1","CM","CM"
"ABIE.BAL","b1",1.568514,"2","DMW","DMW"
"ABIE.BAL","b1",1.568514,"3","NM","NM"
"ABIE.BAL","b1",1.568514,"4","BSA","BSA"
"ABIE.BAL","b1",1.568514,"5","PAD","PAD"
"ABIE.BAL","b1",1.568514,"6","LBH","LBH"
"ABIE.BAL","b1",1.568514,"9","M","M"
"ABIE.BAL","b1",1.568514,"11","LF","LF"
"ABIE.BAL","b1",1.568514,"12","AP","AP"
"ABIE.BAL","b1",1.568514,"13","KU","KU"
"ABIE.BAL","b1",1.568514,"14","FP","FP"
"ABIE.BAL","b1",1.568514,"15","PRP","PRP"
"ABIE.BAL","b1",1.568514,"16","CP","CP"
"ABIE.BAL","b1",1.338336,"7","ALP","ALP"
"ABIE.BAL","b1",1.338336,"8","SA","SA"
"ABIE.BAL","b1",1.338336,"10","UF","UF"
"ABIE.BAL","b1",1.33633,NA,"Province","Province"
"ABIE.BAL","b2",-0.384262,"1","CM","CM"
"ABIE.BAL","b2",-0.384262,"2","DMW","DMW"
"ABIE.BAL","b2",-0.384262,"3","NM","NM"
"ABIE.BAL","b2",-0.384262,"4","BSA","BSA"
"ABIE.BAL","b2",-0.384262,"5","PAD","PAD"
"ABIE.BAL","b2",-0.384262,"6","LBH","LBH"
"ABIE.BAL","b2",-0.384262,"9","M","M"
"ABIE.BAL","b2",-0.384262,"11","LF","LF"
"ABIE.BAL","b2",-0.384262,"12","AP","AP"
"ABIE.BAL","b2",-0.384262,"13","KU","KU"
"ABIE.BAL","b2",-0.384262,"14","FP","FP"
"ABIE.BAL","b2",-0.384262,"15","PRP","PRP"
"ABIE.BAL","b2",-0.384262,"16","CP","CP"
"ABIE.BAL","b2",-0.30463,"7","ALP","ALP"
"ABIE.BAL","b2",-0.30463,"8","SA","SA"
"ABIE.BAL","b2",-0.30463,"10","UF","UF"
"ABIE.BAL","b2",-0.320352,NA,"Province","Province"
"ABIE.BAL","b3",3.503466,"1","CM","CM"
"ABIE.BAL","b3",3.503466,"2","DMW","DMW"
"ABIE.BAL","b3",3.503466,"3","NM","NM"
"ABIE.BAL","b3",3.503466,"4","BSA","BSA"
