"species","model","parameter","estimate","stderr"
"ABIE.BAL","DBHHT","bfoliage2",2.523,0.075
"ABIE.BAL","DBHHT","bfoliage3",-1.123,0.0878
"POPU.BAL","DBHHT","bwood1",0.0117,0.0015
"POPU.BAL","DBHHT","bwood2",1.7757,0.0541
"POPU.BAL","DBHHT","bwood3",1.2555,0.0883
"POPU.BAL","DBHHT","bbark1",0.018,0.0036
"POPU.BAL","DBHHT","bbark2",1.8131,0.0939
"POPU.BAL","DBHHT","bbark3",0.5144,0.1438
"POPU.BAL","DBHHT","bbranches1",0.0112,0.0028
"POPU.BAL","DBHHT","bbranches2",3.0861,0.1464
"POPU.BAL","DBHHT","bbranches3",-0.7164,0.2179
"POPU.BAL","DBHHT","bfoliage1",0.0617,0.0103
"POPU.BAL","DBHHT","bfoliage2",1.8615,0.1264
"POPU.BAL","DBHHT","bfoliage3",-0.5375,0.1855
"TILI.AME","DBHHT","bwood1",0.0168,0.0014
"TILI.AME","DBHHT","bwood2",1.9844,0.0494
"TILI.AME","DBHHT","bwood3",0.8989,0.0767
"TILI.AME","DBHHT","bbark1",0.0057,0.001
"TILI.AME","DBHHT","bbark2",1.5881,0.0788
"TILI.AME","DBHHT","bbark3",1.1472,0.129
"TILI.AME","DBHHT","bbranches1",0.0039,0.0021
"TILI.AME","DBHHT","bbranches2",2.0084,0.17
"TILI.AME","DBHHT","bbranches3",0.8588,0.2993
"TILI.AME","DBHHT","bfoliage1",0.0147,0.0039
"TILI.AME","DBHHT","bfoliage2",1.83,0.0753
"TILI.AME","DBHHT","bfoliage3",0,0
"FAGU.GRA","DBHHT","bwood1",0.0432,0.0053
"FAGU.GRA","DBHHT","bwood2",2.0378,0.0443
"FAGU.GRA","DBHHT","bwood3",0.7,0.0816
"FAGU.GRA","DBHHT","bbark1",0.0049,0.0015
"FAGU.GRA","DBHHT","bbark2",1.9057,0.0905
"FAGU.GRA","DBHHT","bbark3",0.677,0.1709
"FAGU.GRA","DBHHT","bbranches1",0.0355,0.0045
"FAGU.GRA","DBHHT","bbranches2",2.3749,0.0381
"FAGU.GRA","DBHHT","bbranches3",0,0
"FAGU.GRA","DBHHT","bfoliage1",0.0452,0.008
"FAGU.GRA","DBHHT","bfoliage2",1.5567,0.0529
"FAGU.GRA","DBHHT","bfoliage3",0,0
"FRAX.NIG","DBHHT","bwood1",0.0306,0.0081
"FRAX.NIG","DBHHT","bwood2",2.1836,0.0575
"FRAX.NIG","DBHHT","bwood3",0.574,0.1344
"FRAX.NIG","DBHHT","bbark1",0.0897,0.0452
"FRAX.NIG","DBHHT","bbark2",2.2634,0.1301
"FRAX.NIG","DBHHT","bbark3",-0.567,0.2761
"FRAX.NIG","DBHHT","bbranches1",0.0994,0.0273
"FRAX.NIG","DBHHT","bbranches2",2.163,0.1432
"FRAX.NIG","DBHHT","bbranches3",-0.4809,0.2285
"FRAX.NIG","DBHHT","bfoliage1",0.0124,0.0047
"FRAX.NIG","DBHHT","bfoliage2",1.0325,0.1425
"FRAX.NIG","DBHHT","bfoliage3",0.8747,0.2638
"PRUN.SER","DBHHT","bwood1",0.0181,0.005
"PRUN.SER","DBHHT","bwood2",1.7013,0.0571
"PRUN.SER","DBHHT","bwood3",1.3057,0.1157
"PRUN.SER","DBHHT","bbark1",0.0101,0.0034
"PRUN.SER","DBHHT","bbark2",1.5956,0.0767
"PRUN.SER","DBHHT","bbark3",0.919,0.1401
"PRUN.SER","DBHHT","bbranches1",5e-04,4e-04
"PRUN.SER","DBHHT","bbranches2",2.8004,0.1592
"PRUN.SER","DBHHT","bbranches3",0.8603,0.3067
"PRUN.SER","DBHHT","bfoliage1",0.1976,0.0291
"PRUN.SER","DBHHT","bfoliage2",1.4421,0.1099
"PRUN.SER","DBHHT","bfoliage3",-0.5264,0.1743
"PICE.MAR","DBHHT","bwood1",0.0335,NA
"PICE.MAR","DBHHT","bwood2",1.7389,NA
"PICE.MAR","DBHHT","bwood3",0.9835,NA
"PICE.MAR","DBHHT","bbark1",0.0132,NA
"PICE.MAR","DBHHT","bbark2",1.7657,NA
